Investigator: 
Recording Name: 20211220_optodox_D4_on_MEA_spontaneous
Description: 

,
Maestro Pro Settings,
   Original File Time,12/20/2021 12:29:26
   Sampling Frequency,12.5 kHz
   Voltage Scale,-5.48486178148311E-08 V/sample
   Experiment Start Time,12/20/2021 12:24:22
   Referencing Method,Median
   Analog Mode Setting,Neural Spikes
   Plate Type,CytoView MEA 6
   Digital Low Pass Filter,3 kHz Kaiser Window
   Digital High Pass Filter,200 Hz IIR
   Temperature Set Point,37.0 Degrees C
   Current Temperature,36.9 Degrees C
   Heater Power,On
   Barcode Plate Type,SixWell
   Plate Serial Number,94-7636
   CO2 Conc. Set Point,5.0 %
   Actual CO2 Conc.,4.9 %
   Gas Mixer Status,Regulating
   AxIS Version,2.0.4.21
   Maestro Pro Firmware,2.0.4.21
   Maestro Pro BioCore Version,4B
,
AxIS Playback,
   AxIS Version,2.0.4.21
   File Name,20211220_optodox_D4_on_MEA_spontaneous(000).raw
   Plate Type,CytoView MEA 6
   Requested File Section,0s to 2m0s
   Actual File Section Run,0s to 2m0s
   Recording Offset from File Start,0s
,
Spike Detector Settings,
   Method,Adaptive Threshold Crossing
   Threshold,5
   Threshold Status,Variable
   Threshold Crossing Only,True
   Pre-Spike Duration,0.84 ms
   Post-Spike Duration,2.16 ms
   Coincident Event Filter,Default (Well)
   Coincidence Occurrence Threshold,4 Electrodes
   Coincidence Event Window,80 µs
   Allow Sample Overlap,false
   Spike Count Interval,1 s
,
Burst Detector Settings,
   Burst Detection Algorithm,Inter-Spike Interval (ISI) Threshold
   Maximum Inter-Spike Interval,100 ms
   Minimum Number of Spikes,5
   Enable Network Burst Detection,True
   Maximum Inter-Spike Interval (network bursts),100 ms
   Minimum Number of Spikes (network bursts),50
   Minimum Participating Electrodes (%),35
   Synchrony Window,20 ms
,
Statistics Compiler Settings,
   Include Treatment Statistics,True
   Include Well Statistics,True
   Include Source Data,False
   Minimum Spike Rate for Active Electrode,5 spikes/minute
,
,

Well Information
Well,A1,A2,A3,B1,B2,B3
Active,True,True,True,True,True,True
Well Coloring,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00,#00FF00
Control,False,False,False,False,False,False
Treatment,,,,,,
Concentration,,,,,,
Additional Information,,,,,,
,
Analysis Start (s): ,0
Analysis Duration (s): ,120.75

Treatment Averages,
Total Wells,6
Number of Spikes - Avg,14956.333333
Number of Spikes - Std,15583.604739
Mean Firing Rate (Hz) - Avg,1.935343
Mean Firing Rate (Hz) - Std,2.016512
Number of Active Electrodes - Avg,18.333333
Number of Active Electrodes - Std,6.055301
Weighted Mean Firing Rate (Hz) - Avg,7.083936
Weighted Mean Firing Rate (Hz) - Std,8.176748
Number of Bursts - Avg,349.833333
Number of Bursts - Std,257.981718
Burst Duration - Avg (s),0.958943
Burst Duration - Std (s),0.815244
Inter-Burst Interval - Avg (s),0.029056
Inter-Burst Interval - Std (s),0.007712
Burst Frequency - Avg (Hz),0.689737
Burst Frequency - Std (Hz),0.253977
Normalized Duration IQR - Avg,0.875042
Normalized Duration IQR - Std,0.241071
IBI Coefficient of Variation - Avg,0.663306
IBI Coefficient of Variation - Std,0.06939
Burst Percentage - Avg,69.391392
Burst Percentage - Std,37.061803
Number of Network Bursts - Avg,0.5
Number of Network Bursts - Std,0.83666
Network Burst Frequency - Avg (Hz),0.012422
Network Burst Frequency - Std (Hz),0.005856
Network Burst Duration - Avg (sec),84.32386
Network Burst Duration - Std (sec),33.98375
Number of Elecs Participating in Burst - Avg,36.75
Number of Elecs Participating in Burst - Std,36.75
Network Burst Percentage - Avg,95.0276
Network Burst Percentage - Std,7.032036
Network IBI Coefficient of Variation - Avg,
Network IBI Coefficient of Variation - Std,
Network Normalized Duration IQR - Avg,
Network Normalized Duration IQR - Std,
Area Under Normalized Cross-Correlation - Avg,0.023654
Area Under Normalized Cross-Correlation - Std,0.007829
Area Under Cross-Correlation - Avg,0.274685
Area Under Cross-Correlation - Std,0.372912

Well Averages,A1,A2,A3,B1,B2,B3
Treatment/ID,,,,,,
Number of Spikes,35133,9741,34058,457,2579,7770
Mean Firing Rate (Hz),4.546196,1.260481,4.407091,0.059136,0.333722,1.005435
Number of Active Electrodes,20,23,14,15,11,27
Weighted Mean Firing Rate (Hz),14.509731,3.491943,20.091097,0.21256,1.822699,2.375585
ISI Coefficient of Variation - Avg,1.121066,1.034763,1.119507,1.093079,1.149472,1.17805
Number of Bursts,647,350,630,0,142,330
Number of Bursting Electrodes,7,3,6,0,3,6
Burst Duration - Avg (s),2.088541,0.517265,1.557412,,0.285284,0.346214
Burst Duration - Std (s),2.721454,0.135356,1.658116,,0.071994,0.231795
Number of Spikes per Burst - Avg,169.022278,24.939634,106.709811,,9.26215,12.045378
Number of Spikes per Burst - Std,254.02814,12.21213,140.674653,,3.114055,9.112312
Mean ISI within Burst - Avg,0.025146,0.026144,0.019874,,0.037988,0.036129
Mean ISI within Burst - Std,0.011258,0.007581,0.005588,,0.00455,0.005725
Median ISI within Burst - Avg,0.022176,0.022013,0.015683,,0.035609,0.033608
Median ISI within Burst - Std,0.011779,0.007807,0.00496,,0.005404,0.006977
Inter-Burst Interval - Avg (s),2.5957,1.040064,1.787202,,5.506667,5.909087
Inter-Burst Interval - Std (s),2.648272,0.049806,1.630033,,6.298445,7.531183
Burst Frequency - Avg (Hz),0.765454,0.966184,0.869565,,0.391994,0.455487
Burst Frequency - Std (Hz),0.455332,0.045611,0.435141,,0.293772,0.367015
Normalized Duration IQR - Avg,1.089268,0.997753,1.022157,,0.50512,0.760912
Normalized Duration IQR - Std,0.560812,0.154887,0.279905,,0.203762,0.644589
IBI Coefficient of Variation - Avg,0.646069,0.782373,0.656655,,0.626013,0.605419
IBI Coefficient of Variation - Std,0.215432,0.269461,0.188351,,0.259027,0.127877
Burst Percentage - Avg,13.46614,7.49961,15.872015,0,4.03283,9.892506
Burst Percentage - Std,33.076966,25.284095,36.592425,0,15.73888,26.574006
Number of Network Bursts,2,0,1,0,0,0
Network Burst Frequency (Hz),0.016563,,0.008282,,,
Network Burst Duration - Avg (sec),60.29372,,108.354,,,
Network Burst Duration - Std (sec),52.045152,,,,,
Number of Spikes per Network Burst - Avg,17566.5,,30671,,,
Number of Spikes per Network Burst - Std,15504.730391,,,,,
Number of Elecs Participating in Burst - Avg,36.5,,37,,,
Number of Elecs Participating in Burst - Std,13.435029,,,,,
Number of Spikes per Network Burst per Channel - Avg,432.386473,,828.945946,,,
Number of Spikes per Network Burst per Channel - Std,265.633031,,,,,
Network Burst Percentage,100,,90.0552,,,
Network IBI Coefficient of Variation,,,,,,
Network ISI Coefficient of Variation,1.671009,2.635659,1.696581,1.42619,2.159269,1.6923
Network Normalized Duration IQR,,,,,,
Area Under Normalized Cross-Correlation,0.02743,0.034116,0.028445,0.015648,0.013962,0.022322
Area Under Cross-Correlation,0.755135,0.086065,0.75389,0.000891,0.007591,0.044538
Width at Half Height of Normalized Cross-Correlation,2,2,1,1,2,2
Width at Half Height of Cross-Correlation,3,2,2,1,2,2
Synchrony Index,0.024627,0.026168,0.039511,0.022265,0.016511,0.028958

Measurement,A1_11,A1_12,A1_13,A1_14,A1_15,A1_16,A1_17,A1_18,A1_21,A1_22,A1_23,A1_24,A1_25,A1_26,A1_27,A1_28,A1_31,A1_32,A1_33,A1_34,A1_35,A1_36,A1_37,A1_38,A1_41,A1_42,A1_43,A1_44,A1_45,A1_46,A1_47,A1_48,A1_51,A1_52,A1_53,A1_54,A1_55,A1_56,A1_57,A1_58,A1_61,A1_62,A1_63,A1_64,A1_65,A1_66,A1_67,A1_68,A1_71,A1_72,A1_73,A1_74,A1_75,A1_76,A1_77,A1_78,A1_81,A1_82,A1_83,A1_84,A1_85,A1_86,A1_87,A1_88,A2_11,A2_12,A2_13,A2_14,A2_15,A2_16,A2_17,A2_18,A2_21,A2_22,A2_23,A2_24,A2_25,A2_26,A2_27,A2_28,A2_31,A2_32,A2_33,A2_34,A2_35,A2_36,A2_37,A2_38,A2_41,A2_42,A2_43,A2_44,A2_45,A2_46,A2_47,A2_48,A2_51,A2_52,A2_53,A2_54,A2_55,A2_56,A2_57,A2_58,A2_61,A2_62,A2_63,A2_64,A2_65,A2_66,A2_67,A2_68,A2_71,A2_72,A2_73,A2_74,A2_75,A2_76,A2_77,A2_78,A2_81,A2_82,A2_83,A2_84,A2_85,A2_86,A2_87,A2_88,A3_11,A3_12,A3_13,A3_14,A3_15,A3_16,A3_17,A3_18,A3_21,A3_22,A3_23,A3_24,A3_25,A3_26,A3_27,A3_28,A3_31,A3_32,A3_33,A3_34,A3_35,A3_36,A3_37,A3_38,A3_41,A3_42,A3_43,A3_44,A3_45,A3_46,A3_47,A3_48,A3_51,A3_52,A3_53,A3_54,A3_55,A3_56,A3_57,A3_58,A3_61,A3_62,A3_63,A3_64,A3_65,A3_66,A3_67,A3_68,A3_71,A3_72,A3_73,A3_74,A3_75,A3_76,A3_77,A3_78,A3_81,A3_82,A3_83,A3_84,A3_85,A3_86,A3_87,A3_88,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_51,B1_52,B1_53,B1_54,B1_55,B1_56,B1_57,B1_58,B1_61,B1_62,B1_63,B1_64,B1_65,B1_66,B1_67,B1_68,B1_71,B1_72,B1_73,B1_74,B1_75,B1_76,B1_77,B1_78,B1_81,B1_82,B1_83,B1_84,B1_85,B1_86,B1_87,B1_88,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48,B2_51,B2_52,B2_53,B2_54,B2_55,B2_56,B2_57,B2_58,B2_61,B2_62,B2_63,B2_64,B2_65,B2_66,B2_67,B2_68,B2_71,B2_72,B2_73,B2_74,B2_75,B2_76,B2_77,B2_78,B2_81,B2_82,B2_83,B2_84,B2_85,B2_86,B2_87,B2_88,B3_11,B3_12,B3_13,B3_14,B3_15,B3_16,B3_17,B3_18,B3_21,B3_22,B3_23,B3_24,B3_25,B3_26,B3_27,B3_28,B3_31,B3_32,B3_33,B3_34,B3_35,B3_36,B3_37,B3_38,B3_41,B3_42,B3_43,B3_44,B3_45,B3_46,B3_47,B3_48,B3_51,B3_52,B3_53,B3_54,B3_55,B3_56,B3_57,B3_58,B3_61,B3_62,B3_63,B3_64,B3_65,B3_66,B3_67,B3_68,B3_71,B3_72,B3_73,B3_74,B3_75,B3_76,B3_77,B3_78,B3_81,B3_82,B3_83,B3_84,B3_85,B3_86,B3_87,B3_88
Number of Spikes,1,1,0,0,0,1,1,1,0,0,0,1,0,0,2,0,2,0,2,0,2,0,1,1,0,14,0,1,1,1,10,6,6,10282,16,12,10,1859,10,15,12,10747,12,10,14,2964,13,11,7,5315,11,16,17,2781,6,833,0,97,2,1,0,2,2,1,1,1,0,1,0,0,0,0,0,2,3,0,0,1,0,0,1799,16,19,7,0,14,14,14,3309,15,9,15,0,4,11,11,4318,19,11,11,0,8,12,12,1,13,14,14,12,4,11,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,9,11,4567,9,15,19,2777,5,7,10,7539,8,8,13,4740,18,6,5,9482,13,10,12,4744,14,1,0,0,0,0,2,1,0,2,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,12,9,12,14,12,9,0,12,2,8,1,13,11,10,41,15,5,10,21,23,18,18,152,11,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,2,10,10,8,12,8,14,10,9,13,10,12,10,7,6,915,10,10,8,11,9,16,19,1157,9,7,44,1,0,1,208,0,0,2,0,0,1,0,0,0,2,2,1,0,0,0,0,3,0,0,0,0,0,1,0,7,0,2,0,0,0,0,0,1,0,17,11,442,5,20,20,18,14,17,12,2511,28,13,13,19,18,12,15,3010,24,25,23,24,20,0,0,0,0,1,119,479,18,803,0,0,0,1,0,0,1
Mean Firing Rate (Hz),0.008282,0.008282,0,0,0,0.008282,0.008282,0.008282,0,0,0,0.008282,0,0,0.016563,0,0.016563,0,0.016563,0,0.016563,0,0.008282,0.008282,0,0.115942,0,0.008282,0.008282,0.008282,0.082816,0.049689,0.049689,85.151139,0.132505,0.099379,0.082816,15.395445,0.082816,0.124224,0.099379,89.00207,0.099379,0.082816,0.115942,24.546584,0.10766,0.091097,0.057971,44.016563,0.091097,0.132505,0.140787,23.031056,0.049689,6.898551,0,0.803313,0.016563,0.008282,0,0.016563,0.016563,0.008282,0.008282,0.008282,0,0.008282,0,0,0,0,0,0.016563,0.024845,0,0,0.008282,0,0,14.898551,0.132505,0.15735,0.057971,0,0.115942,0.115942,0.115942,27.403727,0.124224,0.074534,0.124224,0,0.033126,0.091097,0.091097,35.759834,0.15735,0.091097,0.091097,0,0.066253,0.099379,0.099379,0.008282,0.10766,0.115942,0.115942,0.099379,0.033126,0.091097,0.115942,0,0,0,0,0,0,0,0,0.008282,0,0,0,0,0,0,0,0.008282,0,0,0.016563,0.008282,0,0,0,0.008282,0.008282,0.008282,0,0,0,0,0,0,0,0,0,0.016563,0,0.016563,0,0.008282,0.008282,0.016563,0,0.008282,0,0,0,0,0.008282,0,0,0,0,0,0,0.074534,0.091097,37.821946,0.074534,0.124224,0.15735,22.99793,0.041408,0.057971,0.082816,62.434783,0.066253,0.066253,0.10766,39.254658,0.149068,0.049689,0.041408,78.52588,0.10766,0.082816,0.099379,39.287785,0.115942,0.008282,0,0,0,0,0.016563,0.008282,0,0.016563,0.008282,0,0,0,0.016563,0,0,0.008282,0,0,0,0,0.008282,0,0.008282,0,0,0.008282,0,0,0.016563,0,0,0.099379,0.074534,0.099379,0.115942,0.099379,0.074534,0,0.099379,0.016563,0.066253,0.008282,0.10766,0.091097,0.082816,0.339545,0.124224,0.041408,0.082816,0.173913,0.190476,0.149068,0.149068,1.258799,0.091097,0.016563,0,0,0.008282,0,0,0,0,0,0.008282,0,0,0,0.008282,0,0,0,0,0,0,0,0,0.008282,0.008282,0,0.008282,0.008282,0,0,0.008282,0.008282,0.016563,0.082816,0.082816,0.066253,0.099379,0.066253,0.115942,0.082816,0.074534,0.10766,0.082816,0.099379,0.082816,0.057971,0.049689,7.57764,0.082816,0.082816,0.066253,0.091097,0.074534,0.132505,0.15735,9.581781,0.074534,0.057971,0.364389,0.008282,0,0.008282,1.722567,0,0,0.016563,0,0,0.008282,0,0,0,0.016563,0.016563,0.008282,0,0,0,0,0.024845,0,0,0,0,0,0.008282,0,0.057971,0,0.016563,0,0,0,0,0,0.008282,0,0.140787,0.091097,3.660455,0.041408,0.165631,0.165631,0.149068,0.115942,0.140787,0.099379,20.795031,0.231884,0.10766,0.10766,0.15735,0.149068,0.099379,0.124224,24.927536,0.198758,0.207039,0.190476,0.198758,0.165631,0,0,0,0,0.008282,0.985507,3.966874,0.149068,6.650104,0,0,0,0.008282,0,0,0.008282
ISI Coefficient of Variation,,,,,,,,,,,,,,,,,,,,,,,,,,0.87913,,,,,,,,1.003514,1.308592,1.172164,,1.25707,,0.920931,0.867602,1.042278,0.783177,,0.753131,1.323862,1.123507,0.844236,,1.383576,0.804327,1.444711,0.958264,1.341175,,2.153075,,1.056993,,,,,,,,,,,,,,,,,,,,,,,1.458209,0.758122,1.205155,,,1.041301,0.866963,2.056086,1.651636,0.988739,,0.89709,,,0.997427,1.028217,1.812609,1.012583,0.664964,0.846976,,,0.871771,0.603158,,0.921309,0.816132,0.883751,0.894655,,0.793598,0.729104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849128,1.272576,,1.377134,0.806461,1.450491,,,,1.077188,,,0.932192,1.284087,0.89817,,,0.985657,1.007544,,1.041782,1.200667,1.490025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878441,,1.320337,1.274073,1.275023,,,1.017232,,,,0.917888,0.926403,,1.411246,0.876945,,,1.202921,0.889993,0.824236,0.921286,1.348771,1.311388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.263991,,0.654477,,,1.013621,,0.68539,,,,1.724383,,,,1.034046,,0.850978,1.103735,1.817873,,,0.896215,,,,1.599478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.924906,1.08862,1.001583,,1.070353,1.159298,1.279329,0.822889,1.105723,1.132403,1.342072,1.168936,1.221139,1.270277,0.932949,1.000324,0.888193,0.984567,1.324349,1.301153,1.167158,0.995714,1.269135,0.791457,,,,,,2.569959,1.685118,0.860342,1.449409,,,,,,,
